Entity: two thousand and twenty-three, TF-IDF Score: Not Found
Entity: sixty-three, TF-IDF Score: Not Found
Entity: twenty-eight, TF-IDF Score: Not Found
Entity: twenty-three, TF-IDF Score: Not Found
Entity: thirty-four, TF-IDF Score: Not Found
Entity: four hundred and forty-five, TF-IDF Score: Not Found
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: thirty-five, TF-IDF Score: Not Found
Entity: four hundred four hundred two hundred and fifty two hundred and fifty one hundred one hundred, TF-IDF Score: Not Found
Entity: three hundred and fifty three hundred and fifty two hundred two hundred fifty fifty, TF-IDF Score: Not Found
Entity: thirty, TF-IDF Score: 0.08838391492423653
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: two hundred and fifty-two, TF-IDF Score: Not Found
Entity: livox mid40, TF-IDF Score: Not Found
Entity: one three hundred and nineteen three three five hundred and ninety-nine, TF-IDF Score: Not Found
Entity: five one, TF-IDF Score: Not Found
Entity: thirty-five, TF-IDF Score: Not Found
Entity: one hundred and seventy-five, TF-IDF Score: Not Found
Entity: two hundred and sixty, TF-IDF Score: Not Found
Entity: one hundred and seventy-five eight, TF-IDF Score: Not Found
Entity: ten, TF-IDF Score: 0.017676782984847306
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: thirty-five, TF-IDF Score: Not Found
Entity: one hundred and five, TF-IDF Score: Not Found
Entity: thirty-five, TF-IDF Score: Not Found
Entity: one hundred and five, TF-IDF Score: Not Found
Entity: thirty-five, TF-IDF Score: Not Found
Entity: one hundred and five, TF-IDF Score: Not Found
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: one hundred and ninety two, TF-IDF Score: Not Found
Entity: seven hundred and sixty, TF-IDF Score: Not Found
Entity: one hundred and ninety two four, TF-IDF Score: Not Found
Entity: three twenty-four, TF-IDF Score: Not Found
Entity: twenty-seven, TF-IDF Score: Not Found
Entity: forty-seven thirty-seven three hundred and ninety-five, TF-IDF Score: Not Found
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: thirty-five, TF-IDF Score: Not Found
Entity: six eight, TF-IDF Score: Not Found
Entity: twelve, TF-IDF Score: 0.019640869983163674
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: two hundred two hundred one hundred and fifty one hundred twenty-six, TF-IDF Score: Not Found
Entity: october, TF-IDF Score: 0.017676782984847306
Entity: december, TF-IDF Score: 0.005892260994949102
Entity: two hundred and sixty-one, TF-IDF Score: Not Found
Entity: one thousand, TF-IDF Score: 0.003928173996632735
Entity: two hundred and thirty-four, TF-IDF Score: Not Found
Entity: four, TF-IDF Score: 0.08249165392928744
Entity: over one hundred thousand, TF-IDF Score: Not Found
Entity: four, TF-IDF Score: 0.08249165392928744
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: five, TF-IDF Score: 0.1806960038451058
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: seven hundred and fifty, TF-IDF Score: Not Found
Entity: five hundred, TF-IDF Score: Not Found
Entity: twenty-four thousand, TF-IDF Score: Not Found
Entity: six, TF-IDF Score: 0.03928173996632735
Entity: one hundred, TF-IDF Score: Not Found
Entity: six, TF-IDF Score: 0.03928173996632735
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: winter, TF-IDF Score: 0.003928173996632735
Entity: two hundred and sixty-two, TF-IDF Score: Not Found
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: rgb, TF-IDF Score: 0.013748608988214572
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: two hundred and fifty-five, TF-IDF Score: Not Found
Entity: rgb, TF-IDF Score: 0.013748608988214572
Entity: zero, TF-IDF Score: 0.011784521989898204
Entity: two hundred and fifty-five million, TF-IDF Score: Not Found
Entity: two hundred and fifty-five thousand, TF-IDF Score: Not Found
Entity: two hundred and fifty-five, TF-IDF Score: Not Found
Entity: second, TF-IDF Score: 0.0019640869983163674
Entity: rgb, TF-IDF Score: 0.013748608988214572
Entity: rgb, TF-IDF Score: 0.013748608988214572
Entity: two hundred and sixty-three, TF-IDF Score: Not Found
Entity: opencv, TF-IDF Score: 0.009820434991581837
Entity: ninety, TF-IDF Score: 0.03142539197306188
Entity: the spring, TF-IDF Score: Not Found
Entity: twenty-seven, TF-IDF Score: Not Found
Entity: october, TF-IDF Score: 0.017676782984847306
Entity: february, TF-IDF Score: 0.00785634799326547
Entity: two hundred and seventy-one, TF-IDF Score: Not Found
Entity: rcnn yolo, TF-IDF Score: Not Found
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: five, TF-IDF Score: 0.1806960038451058
Entity: six, TF-IDF Score: 0.03928173996632735
Entity: rcnn description, TF-IDF Score: Not Found
Entity: seven eight, TF-IDF Score: Not Found
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: nine ten, TF-IDF Score: Not Found
Entity: rcnn, TF-IDF Score: 0.011784521989898204
Entity: rcnn, TF-IDF Score: 0.011784521989898204
Entity: two thousand, TF-IDF Score: Not Found
Entity: eleven, TF-IDF Score: 0.013748608988214572
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: between zero, TF-IDF Score: Not Found
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: one hundred, TF-IDF Score: Not Found
Entity: two hundred, TF-IDF Score: Not Found
Entity: two thousand, TF-IDF Score: Not Found
Entity: six hundred and seventy-seven, TF-IDF Score: Not Found
Entity: fifty-six, TF-IDF Score: Not Found
Entity: twenty-six, TF-IDF Score: Not Found
Entity: ninety-nine and five, TF-IDF Score: Not Found
Entity: ninety-nine, TF-IDF Score: Not Found
Entity: seventy-seven, TF-IDF Score: Not Found
Entity: one hundred and ninety-nine and six, TF-IDF Score: Not Found
Entity: one hundred and ninety-nine, TF-IDF Score: Not Found
Entity: zero, TF-IDF Score: 0.011784521989898204
Entity: three hundred and forty-five, TF-IDF Score: Not Found
Entity: the next few weeks, TF-IDF Score: Not Found
Entity: eight, TF-IDF Score: 0.03928173996632735
Entity: about twenty-four thousand, TF-IDF Score: Not Found
Entity: twenty-three thousand, TF-IDF Score: Not Found
Entity: seven hundred and fifty, TF-IDF Score: Not Found
Entity: five hundred, TF-IDF Score: Not Found
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: seven, TF-IDF Score: 0.05695852295117466
Entity: zero, TF-IDF Score: 0.011784521989898204
Entity: seven, TF-IDF Score: 0.05695852295117466
Entity: zero, TF-IDF Score: 0.011784521989898204
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: yolov5, TF-IDF Score: 0.011784521989898204
Entity: six hundred and forty, TF-IDF Score: Not Found
Entity: fifty, TF-IDF Score: 0.04713808795959282
Entity: one thousand, TF-IDF Score: 0.003928173996632735
Entity: two hundred and fifty, TF-IDF Score: 0.003928173996632735
Entity: more than five hours, TF-IDF Score: Not Found
Entity: more than twenty-four thousand, TF-IDF Score: Not Found
Entity: three, TF-IDF Score: 0.1198093068972984
Entity: nelson brown armstrong, TF-IDF Score: Not Found
Entity: the beginning of the, TF-IDF Score: Not Found
Entity: four, TF-IDF Score: 0.08249165392928744
Entity: winter, TF-IDF Score: 0.003928173996632735
Entity: spring two thousand and twenty-four, TF-IDF Score: Not Found
Entity: two thousand and twenty-four, TF-IDF Score: Not Found
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: five, TF-IDF Score: 0.1806960038451058
Entity: one, TF-IDF Score: 0.15909104686362577
Entity: two, TF-IDF Score: 0.1983727868299531
Entity: two thousand and twelve, TF-IDF Score: Not Found
Entity: nine hundred and seventy-one thousand, TF-IDF Score: Not Found
Entity: one hundred and five, TF-IDF Score: Not Found
Entity: g hinton, TF-IDF Score: Not Found
Entity: five hundred and twenty-one no seven thousand, TF-IDF Score: Not Found
Entity: five hundred and fifty-three, TF-IDF Score: Not Found
Entity: four hundred and forty-four, TF-IDF Score: Not Found
Entity: two thousand and fifteen seven, TF-IDF Score: Not Found
Entity: rcnn, TF-IDF Score: 0.011784521989898204
Entity: two thousand and fifteen pp nine thousand, TF-IDF Score: Not Found
Entity: one hundred and ninety-nine eight, TF-IDF Score: Not Found
Entity: two thousand and sixteen nine, TF-IDF Score: Not Found
Entity: redmon, TF-IDF Score: 0.003928173996632735
Entity: two thousand and sixteen pp seven hundred and seventy-nine thousand, TF-IDF Score: Not Found
Entity: ten, TF-IDF Score: 0.017676782984847306
Entity: redmon, TF-IDF Score: 0.003928173996632735
Entity: yolo9000, TF-IDF Score: 0.0019640869983163674
Entity: two thousand and seventeen, TF-IDF Score: Not Found
